Id,cluster
PrimeraLineacol,
VotoPublicoCO,
guardian,
IntlCrimCourt,
Anonymous_CO,
FalaciaDelDia,
Jhadercardozo,
Autocensura1,
andresf14646643,
atratenobis,
Thewolf5886,
rockera_flor1,
tuelnosotros,
ElGatoSin,
jochy_pineda,
norabeltranm,
puerto_carbon,
jamguma,
HernanClavijo15,
lutorCol,
BetoReaccion,
Escarma1,
vivianpolaniaf2,
harmol16,
LaMamDeLosPoll1,
ROQUIRODRIGUEZB,
palabivi,
GermanCuellarS,
Poesia_es_Bot,
GCamposHerrera,
Nunak17,
Felipezico2017,
juanmiguelpeaa2,
Me_Dicen_Cata,
Jorge_098765432,
Angheliqha,
esoguca,
yamilenuma1,
epifitas,
pozolconlecheni,
_jenniferlpz,
lolasierracam,
Miguel_MP8707,
Boris_Rozas,
JBHorrorShow,
elatanquero,
sergio_robayo,
cancinodiegoa,
Simona_Simo_,
PortalLaOtraVoz,
ddoniolvalcroze,
De_Bote_,
AngelicaVerbelL,
_____Kikin_____,
PresuntoPodcast,
Alejolemusfranc,
AngelaM_queen,
mbachelet,
ElCapucchino,
ChalecosAmarill,2.0
vanessaclavij12,
adriana_chaconp,
julibmoya,
somosmcc,
InvisiblesMuros,1.0
Sara54697914,
PLineaChia,
AlexKleinO,
KellyTowerss,
ComisionDDHHPI,
bohorquez_pablo,
PLambiental,
ElSanto_Rosario,
AbelDavidJara,
BrayanMonsalveG,
AisoMovimiento,
PaquiRicardo,
Time55256,
donadolforivas,
HernnAguirre6,
1lineamedica,
MasiosareLa,2.0
DeZurdalAngulo,
CospaccOficial,
GhostCat00,
band_cbr,
LeMamerte,
MaFdaO,
Ingridc33734968,
VidaSilenciadas,
CaminandoElTerr,
jpl_RT,
Laresisstencia,0.0
axolotl_ed,
jhoany_3,
mesanalvictimas,
JotaPeHernandez,
Deliana07,
CharliB97783485,
YuranyAlzate1,
ElianaQuimbaya,
softcol23,0.0
caliinforma,2.0
enriquegive,
saludSuba1Linea,2.0
herasocmf,
bombaestereo,
TEJE_France,
MartineWonner,
RicardoMinute,
FrontlineRepor1,0.0
AnonymeCitoyen,
beatrizquinlop,
kevinseddiki,
endrystar,
cccartagenaco,
FundacionSalvi,
CartagenaFest,
simon_posada,
RicardoRozental,
flavia2santos,
Festicumbia_,
lucianapeker,
sztajnszrajber,
PachoEscobar,
PROCOLOMBIACO,
MujeresPolo,
womcolombia,
PatreonSupport,
Patreon,
geomagazin,
balandro99,
na_morales_,
mubi,
soundscolours,
andresidarragaf,
seujorge,
ErasmoCarlosBR,
GalCosta,
nuncaduermo,
DanielGAlarcon,
silviavinas,
elhilopodcast,
LupaApp,
VICENews,
librosyletras,
ELTIEMPO,
UnPasquin,
CanalTreceCO,
mambientalistac,
MonoNunezFest,
heincke,
PaloCruzao,
BBCSounds,
3nuevacolombia,
PALOSYCUERDAS,
juanpenia,
amid_the_stars,
allsongs,
